epoch,lr,train_total_loss,val_total_loss,best_val_loss,best_epoch,train_roi_classifier_loss,train_roi_box_loss,train_roi_mask_loss,train_rpn_objectness_loss,train_rpn_box_loss,val_roi_classifier_loss,val_roi_box_loss,val_roi_mask_loss,val_rpn_objectness_loss,val_rpn_box_loss,is_best,epoch_time_sec
13,0.0001,0.6705766221850109,0.7225178402045678,0.7225178402045678,13,0.20971549094416375,0.10543699399989281,0.29931917037689715,0.005683066003624027,0.05042190049914523,0.2595001189873136,0.1009129064093376,0.3085552369726115,0.0068812630645095785,0.04666831516500177,1,287.04124331474304
14,0.0001,0.6550198643437035,0.705649215394053,0.705649215394053,14,0.20418435654022973,0.10098049700866606,0.29463027937467706,0.0053549314176682405,0.049869799899546194,0.25074567476223253,0.09881761343828563,0.3047473999960669,0.005822796356695672,0.04551573329251902,1,290.4913008213043
15,0.0001,0.637829535287018,0.7380233670103139,0.705649215394053,14,0.1980129020596621,0.09713979122813704,0.2888305795978206,0.005249636184174072,0.048596628032834085,0.2759021758005537,0.10307863370097917,0.30648666507211225,0.006194824540128546,0.04636106444522738,0,289.0691668987274
16,0.0001,0.6344932246693346,0.709231056016067,0.705649215394053,14,0.1936754037334899,0.09677054216358474,0.2909294012597057,0.004777744426729683,0.04834013178316487,0.25390398525472346,0.10120952373434758,0.2985753207371153,0.00688995280702486,0.04865227333141555,0,286.3655037879944
17,0.0001,0.6111978756249413,0.7639543360677259,0.705649215394053,14,0.1816700114940777,0.09035177685763177,0.28551056948358083,0.006201712669055212,0.047463805159419725,0.27521241014373715,0.12297930758574914,0.30809522733606143,0.006711506566578715,0.05095588317911687,0,287.0385549068451
18,0.0001,0.5972906807750387,0.7766407849459812,0.705649215394053,14,0.1759859301385684,0.08851545744994294,0.2821146962678094,0.004187721056180139,0.04648687548722436,0.2760543421424668,0.13226811497889715,0.3106007652036075,0.006374744053404168,0.05134281403513561,0,286.73207092285156
19,0.0001,0.5918757084189151,0.6899302690193571,0.6899302690193571,19,0.17253697057343653,0.08684020136598526,0.281715288508,0.004586323818061041,0.04619692357749066,0.2423745831025058,0.09025042694190454,0.3077184579495726,0.0060409811205945204,0.0435458156472907,1,284.2775950431824
20,0.0001,0.5834745874084551,0.715252823459691,0.6899302690193571,19,0.1671178433478591,0.08508332255200149,0.28089617204296496,0.00441521163161422,0.04596203791900497,0.26283652916036804,0.0957492533171999,0.30680311836045365,0.005559501636638868,0.04430441617291292,0,285.7662434577942
21,0.0001,0.5763698174625405,0.7529162963916516,0.6899302690193571,19,0.16531992319234928,0.08294064542447104,0.27863256386854235,0.003928951636811153,0.04554773286933763,0.274726744921043,0.12178255376116982,0.3032392189420503,0.00530840591607808,0.04785937322785371,0,284.47822523117065
22,0.0001,0.5589536273664282,0.7239823834649448,0.6899302690193571,19,0.15393336602000554,0.08010027719630308,0.2768834710929745,0.0037417930196579265,0.044294720154781454,0.25184628023155803,0.1103717003916872,0.30947502132119803,0.005748117477873918,0.046541264886036514,0,284.08688259124756
